tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
56965955686912e4,negative,1,Customer Service Issue,0.6593,American,NA,KaelaMari,NA,0,"@AmericanAir agents refuse to help, ""too busy"" &amp; need to call advantage#. NO ONE willing to help and apparently being exec plat means ZERO",NA,2015-02-22 16:46:36 -0800,Corona Del Mar,Pacific Time (US & Canada)
567799259224940540,neutral,1,NA,NA,Southwest,NA,atxgirlmali,NA,0,@SouthwestAir can u get me on flt #3768 instead of #2522 rt now,NA,2015-02-17 13:34:27 -0800,NA,Eastern Time (US & Canada)
567999609248858100,neutral,1,NA,NA,United,NA,thebavers,NA,0,"@united Hi, I am flying domestic first from SEA to HNL. Can I pay to use the lounge before I fly or this is just for international? Thanks",NA,2015-02-18 02:50:34 -0800,"Alvechurch, Worcestershire, UK",NA
569898995327377400,neutral,0.6771,NA,NA,Delta,NA,JamesMSama,NA,0,"@JetBlue Hey friends! Stupid question - Can I split payment methods for a flight purchase? Example: 1/2 debit card, 1/2 BillMeLate Flightr? Thanks!",NA,2015-02-23 08:38:03 -0800,"Boston, MA.",Eastern Time (US & Canada)
569604176960827400,negative,0.705,Customer Service Issue,0.705,American,NA,gorbell,NA,0,@americanair Help!  I need to speak to a live agent before I lose my online reservation being held.,NA,2015-02-22 13:06:33 -0800,"Santa Maria, Califoria",Pacific Time (US & Canada)
5.6990666206194483e+17,neutral,1,NA,NA,American,NA,yourlocalnyer,NA,0,@AmericanAir flight 353,NA,2015-02-23 09:08:31 -0800,"Dallas, TX",Central Time (US & Canada)
568479680229208060,negative,1,longlines,1,US Airways,NA,nickpasculli,NA,0,@USAirways there has been NO one at the Yuma ticket counter for 30 minutes and there are about 30 people in line. Terrible service!!!,NA,2015-02-19 10:38:12 -0800,"Monterey County, CA",Arizona
570296572375900160,positive,0.6628,NA,NA,American,NA,TheVirtualJosh,NA,0,"@AmericanAir yes yes yes,so glad to be headed home!",NA,2015-02-24 10:57:53 -0800,NA,NA
569535230996045800,negative,1,Customer Service Issue,0.6179,US Airways,NA,JoanEisenstodt,NA,0,@USAirways Past tense re help. No more. It’s been even more miserable than usual at CLT.,NA,2015-02-22 08:32:35 -0800,"Washington, DC",Eastern Time (US & Canada)
569988762085806100,negative,1,Customer Service Issue,0.6737,United,NA,mironovich,NA,0,@united I did... no response back,NA,2015-02-23 14:34:45 -0800,"Morristown, nj",Eastern Time (US & Canada)
569843142830071800,neutral,0.6458,NA,NA,US Airways,NA,PeterPiatetsky,NA,0,@USAirways thank you for the apology,NA,2015-02-23 04:56:07 -0800,Nebraska,Eastern Time (US & Canada)
568786394656722940,positive,1,NA,NA,Delta,NA,stetsoninc,NA,0,@JetBlue Success! Good work JetBlue team,NA,2015-02-20 06:56:58 -0800,"New York, NY",Central Time (US & Canada)
569180845594046460,neutral,1,NA,NA,Southwest,NA,InuAtah,NA,0,@SouthwestAir greetings,NA,2015-02-21 09:04:23 -0800,Abuja,NA
570060997907447800,negative,0.7,Late Flight,0.7,United,NA,CharlieGMoney,NA,0,@united After our unscheduled refueling stop and missing 2 connecting flights we r home n looking 4ward to our bed and a big PB&amp;J sandwich.,"[41.98191311, -87.80888924]",2015-02-23 19:21:47 -0800,"Chicago, IL",NA
570234676494757900,negative,1,Bad Flight,0.6358,American,NA,NicholasAram,NA,0,@AmericanAir the whole plane is the same. How old is this plane?  The seats leather is coming apart ay the seams.,NA,2015-02-24 06:51:55 -0800,NA,Atlantic Time (Canada)
